feature,modality,gene_symbol,selection_reason,training_variance
expr::ALDH1A1 (216),expression,ALDH1A1,variance,9.733633995056152
expr::MAGEA3 (4102),expression,MAGEA3,variance,9.508349418640137
expr::ELF3 (1999),expression,ELF3,variance,9.501623153686523
expr::CDH1 (999),expression,CDH1,variance,9.396075248718262
expr::CLDN7 (1366),expression,CLDN7,variance,9.376006126403809
expr::THY1 (7070),expression,THY1,variance,9.363433837890625
expr::XAGE1A (653220),expression,XAGE1A,variance,9.337565422058105
expr::KRT8 (3856),expression,KRT8,variance,9.32439136505127
expr::AKR1C3 (8644),expression,AKR1C3,variance,9.299339294433594
expr::IGFBP3 (3486),expression,IGFBP3,variance,9.296347618103027
expr::IGFBP7 (3490),expression,IGFBP7,variance,9.254413604736328
expr::MMP2 (4313),expression,MMP2,variance,9.229381561279297
expr::MMP1 (4312),expression,MMP1,variance,9.175517082214355
expr::AKR1C1 (1645),expression,AKR1C1,variance,9.17535400390625
expr::SERPINE1 (5054),expression,SERPINE1,variance,9.171708106994629
expr::IFITM1 (8519),expression,IFITM1,variance,9.060779571533203
expr::ST14 (6768),expression,ST14,variance,9.012742042541504
expr::BASP1 (10409),expression,BASP1,variance,8.946191787719727
expr::S100A4 (6275),expression,S100A4,variance,8.905613899230957
expr::BST2 (684),expression,BST2,variance,8.791840553283691
expr::SFN (2810),expression,SFN,variance,8.779706954956055
expr::MAGEA6 (4105),expression,MAGEA6,variance,8.719017028808594
expr::CD24 (100133941),expression,CD24,variance,8.715642929077148
expr::KRT81 (3887),expression,KRT81,variance,8.712769508361816
expr::CRIP1 (1396),expression,CRIP1,variance,8.693384170532227
expr::CYBA (1535),expression,CYBA,variance,8.689082145690918
expr::CXCL8 (3576),expression,CXCL8,variance,8.59408187866211
expr::C3 (718),expression,C3,variance,8.548157691955566
expr::TSPAN8 (7103),expression,TSPAN8,variance,8.537099838256836
expr::CXCL1 (2919),expression,CXCL1,variance,8.446399688720703
expr::GJA1 (2697),expression,GJA1,variance,8.424552917480469
expr::DKK1 (22943),expression,DKK1,variance,8.418268203735352
expr::ADIRF (10974),expression,ADIRF,variance,8.37702751159668
expr::TINAGL1 (64129),expression,TINAGL1,variance,8.372840881347656
expr::PLAU (5328),expression,PLAU,variance,8.321534156799316
expr::ALDH1A3 (220),expression,ALDH1A3,variance,8.284812927246094
expr::COL3A1 (1281),expression,COL3A1,variance,8.211669921875
expr::LAMC2 (3918),expression,LAMC2,variance,8.16596508026123
expr::SRGN (5552),expression,SRGN,variance,8.119653701782227
expr::TIMP3 (7078),expression,TIMP3,variance,8.084519386291504
expr::TGM2 (7052),expression,TGM2,variance,8.07405948638916
expr::RBP1 (5947),expression,RBP1,variance,8.070852279663086
expr::KRT6A (3853),expression,KRT6A,variance,8.06534481048584
expr::PRAME (23532),expression,PRAME,variance,7.993732929229736
expr::MAGEA4 (4103),expression,MAGEA4,variance,7.991786003112793
expr::CAV1 (857),expression,CAV1,variance,7.942648410797119
expr::CD74 (972),expression,CD74,variance,7.92951774597168
expr::AKR1B10 (57016),expression,AKR1B10,variance,7.866591453552246
expr::MYL9 (10398),expression,MYL9,variance,7.854507923126221
expr::AREG (374),expression,AREG,variance,7.810006141662598
expr::C15orf48 (84419),expression,C15ORF48,variance,7.784850120544434
expr::SPINT1 (6692),expression,SPINT1,variance,7.765395641326904
expr::LOXL2 (4017),expression,LOXL2,variance,7.7061662673950195
expr::TNC (3371),expression,TNC,variance,7.699886798858643
expr::CLDN1 (9076),expression,CLDN1,variance,7.687155723571777
expr::CST6 (1474),expression,CST6,variance,7.664870738983154
expr::ANXA3 (306),expression,ANXA3,variance,7.634988307952881
expr::EEF1A2 (1917),expression,EEF1A2,variance,7.608627796173096
expr::BEX1 (55859),expression,BEX1,variance,7.585019111633301
expr::MGST1 (4257),expression,MGST1,variance,7.5613508224487305
expr::SERPINE2 (5270),expression,SERPINE2,variance,7.545226573944092
expr::MALL (7851),expression,MALL,variance,7.470259189605713
expr::F3 (2152),expression,F3,variance,7.46688985824585
expr::COL6A2 (1292),expression,COL6A2,variance,7.46203088760376
expr::S100A9 (6280),expression,S100A9,variance,7.459100723266602
