feature,mean_abs_shap
expression__expr::ST14 (6768),0.0
expression__expr::LAMC2 (3918),0.0
expression__expr::VCAN (1462),0.0
expression__expr::ALDH1A3 (220),0.0
expression__expr::MAGEA6 (4105),0.0
expression__expr::XAGE1A (653220),0.0
expression__expr::BST2 (684),0.0
expression__expr::ALDH3A1 (218),0.0
expression__expr::TFPI2 (7980),0.0
expression__expr::KRT81 (3887),0.0
expression__expr::CDH1 (999),0.0
expression__expr::SPARC (6678),0.0
expression__expr::ADIRF (10974),0.0
expression__expr::SFN (2810),0.0
expression__expr::KRT6A (3853),0.0
expression__expr::ELF3 (1999),0.0
expression__expr::KRT8 (3856),0.0
expression__expr::MAGEA4 (4103),0.0
expression__expr::AKR1C3 (8644),0.0
expression__expr::IFITM1 (8519),0.0
expression__expr::MMP2 (4313),0.0
expression__expr::CLDN4 (1364),0.0
expression__expr::MAGEA3 (4102),0.0
expression__expr::CLDN7 (1366),0.0
expression__expr::EGFR (1956),0.0
expression__expr::KRAS (3845),0.0
expression__expr::MAP2K2 (5605),0.0
expression__expr::BCAT1 (586),0.0
expression__expr::ALPP (250),0.0
expression__expr::DDX3Y (8653),0.0
expression__expr::CA12 (771),0.0
expression__expr::P3H2 (55214),0.0
expression__expr::MST1R (4486),0.0
expression__expr::PTHLH (5744),0.0
expression__expr::ABCC3 (8714),0.0
expression__expr::IRF6 (3664),0.0
expression__expr::TUBB2B (347733),0.0
expression__expr::PTN (5764),0.0
expression__expr::GPRC5A (9052),0.0
expression__expr::PMP22 (5376),0.0
expression__expr::EIF1AY (9086),0.0
expression__expr::C1S (716),0.0
expression__expr::CSTA (1475),0.0
expression__expr::RHOD (29984),0.0
expression__expr::FBLN1 (2192),0.0
expression__expr::PLBD1 (79887),0.0
expression__expr::CDH11 (1009),0.0
expression__expr::JUP (3728),0.0
expression__expr::RAMP1 (10267),0.0
expression__expr::VAMP8 (8673),0.0
expression__expr::ITGB3 (3690),0.0
expression__expr::RAB34 (83871),0.0
expression__expr::CXCL5 (6374),0.0
expression__expr::NRCAM (4897),0.0
expression__expr::TFPI (7035),0.0
mutations__mut::damaging::BCORL1 (63035),0.0
mutations__mut::damaging::ZFHX3 (463),0.0
mutations__mut::hotspot::PIK3CA (5290),0.0
mutations__mut::damaging::MUC16 (94025),0.0
mutations__mut::damaging::KMT2C (58508),0.0
mutations__mut::damaging::SPAG8 (26206),0.0
mutations__mut::damaging::PDS5B (23047),0.0
mutations__mut::damaging::TGFBR2 (7048),0.0
mutations__mut::damaging::CREBBP (1387),0.0
mutations__mut::hotspot::BRAF (673),0.0
mutations__mut::hotspot::CDKN2A (1029),0.0
mutations__mut::damaging::APC (324),0.0
mutations__mut::damaging::NF2 (4771),0.0
mutations__mut::damaging::KMT2D (8085),0.0
mutations__mut::damaging::NF1 (4763),0.0
expression__expr::BRAF (673),0.0
mutations__mut::damaging::ACVR2A (92),0.0
mutations__mut::damaging::SMAD4 (4089),0.0
mutations__mut::damaging::SLK (9748),0.0
mutations__mut::damaging::SPATA22 (84690),0.0
mutations__mut::damaging::RB1 (5925),0.0
mutations__mut::damaging::LINC02900 (340073),0.0
mutations__mut::damaging::TTN (7273),0.0
mutations__mut::damaging::SMARCA4 (6597),0.0
mutations__mut::hotspot::TERT (7015),0.0
mutations__mut::damaging::PTEN (5728),0.0
mutations__mut::hotspot::KRAS (3845),0.0
mutations__mut::damaging::ARID1A (8289),0.0
mutations__mut::damaging::CDKN2A (1029),0.0
mutations__mut::damaging::TP53 (7157),0.0
mutations__mut::hotspot::TP53 (7157),0.0
mutations__mut::damaging::STK11 (6794),0.0
expression__expr::CTAG2 (30848),0.0
expression__expr::HLA-B (3106),0.0
expression__expr::COL12A1 (1303),0.0
expression__expr::LGALS1 (3956),0.0
expression__expr::L1CAM (3897),0.0
expression__expr::ANKRD1 (27063),0.0
expression__expr::KLK5 (25818),0.0
expression__expr::PLIN2 (123),0.0
expression__expr::WFDC2 (10406),0.0
expression__expr::APOE (348),0.0
expression__expr::ADGRF1 (266977),0.0
expression__expr::CD44 (960),0.0
expression__expr::QPCT (25797),0.0
expression__expr::PDZK1IP1 (10158),0.0
expression__expr::IFI44 (10561),0.0
expression__expr::TMEM98 (26022),0.0
expression__expr::BEX1 (55859),0.0
expression__expr::MCAM (4162),0.0
expression__expr::XAGE1B (653067),0.0
expression__expr::CCDC80 (151887),0.0
expression__expr::MPZL2 (10205),0.0
expression__expr::CDH2 (1000),0.0
