drug,family,fold,n_candidates,radius_90,sensitive_max,resistant_min,class_band_width,prediction_min,prediction_max,maximum_supportable_radius,first_support_radius_scale,n_interval_support_90,n_technical_support_90,n_margin_pass,nominal_coverage_at_first_support,coverage_status
trametinib,elastic_net,4,75,0.26819104970023444,0.6407189412099842,0.9136803828101596,0.27296144160017544,0.5529630465654436,1.0303022296353248,0.11662184682516519,0.4348461552147884,0,0,64,,Unavailable: original fold calibration residuals were not saved
trametinib,elastic_net,5,75,0.26844174450147296,0.6418011611733068,0.913150022775132,0.27134886160182525,0.5710062474602382,0.9839500975075626,0.07080007473243055,0.26374465291869703,0,0,56,,Unavailable: original fold calibration residuals were not saved
trametinib,lineage,1,75,0.30164531559192553,0.6391224711600416,0.9112638657586372,0.27214139459859554,0.5373608874151996,1.0523154919004316,0.14105162614179445,0.46760754717839914,0,0,30,,Unavailable: original fold calibration residuals were not saved
trametinib,lineage,2,75,0.3053486010246359,0.6418011611733068,0.9131505213787036,0.2713493602053968,0.6136530523893186,1.0048001835187852,0.09164966214008163,0.30014764054113746,0,0,26,,Unavailable: original fold calibration residuals were not saved
trametinib,lineage,3,75,0.302458459425541,0.645707916853427,0.9131459773317938,0.2674380604783668,0.5668080052604155,0.9636201511556288,0.07889991159301146,0.26086197669215794,0,0,10,,Unavailable: original fold calibration residuals were not saved
trametinib,lineage,4,75,0.3023877746759087,0.6407189412099842,0.9136803828101596,0.27296144160017544,0.5959994817368062,0.9968911877298984,0.044719459473178014,0.1478877891842921,0,0,11,,Unavailable: original fold calibration residuals were not saved
trametinib,lineage,5,75,0.27581651049556466,0.6418011611733068,0.913150022775132,0.27134886160182525,0.5858007365471142,1.065789943991205,0.15263992121607306,0.5534111099506773,0,0,8,,Unavailable: original fold calibration residuals were not saved
trametinib,xgboost,1,75,0.2626558046785542,0.6391224711600416,0.9112638657586372,0.27214139459859554,0.4964742362499237,1.0216491222381592,0.1426482349101179,0.5430994951156515,0,0,49,,Unavailable: original fold calibration residuals were not saved
trametinib,xgboost,2,75,0.29106739543505933,0.6418011611733068,0.9131505213787036,0.2713493602053968,0.5308050513267517,0.9898948669433594,0.11099610984655506,0.3813416122429268,0,0,43,,Unavailable: original fold calibration residuals were not saved
trametinib,xgboost,3,75,0.29076335214205995,0.645707916853427,0.9131459773317938,0.2674380604783668,0.5374900698661804,0.9744467735290528,0.10821784698724657,0.37218530530069655,0,0,43,,Unavailable: original fold calibration residuals were not saved
