drug,family,radius_scale,n_technical_support,n_candidates,selection_fraction,interpretation
palbociclib,xgboost,0.15000000000000002,18,370,0.04864864864864865,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.2,16,370,0.043243243243243246,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.25,13,370,0.03513513513513514,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.30000000000000004,11,370,0.02972972972972973,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.35000000000000003,6,370,0.016216216216216217,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.4,5,370,0.013513513513513514,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.45,4,370,0.010810810810810811,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.5,4,370,0.010810810810810811,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.55,3,370,0.008108108108108109,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.6000000000000001,3,370,0.008108108108108109,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.65,3,370,0.008108108108108109,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.7000000000000001,3,370,0.008108108108108109,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.75,2,370,0.005405405405405406,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.8,2,370,0.005405405405405406,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.8500000000000001,2,370,0.005405405405405406,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.9,1,370,0.002702702702702703,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,0.9500000000000001,1,370,0.002702702702702703,Post-hoc radius scaling; not nominal interval coverage or an API policy
palbociclib,xgboost,1.0,1,370,0.002702702702702703,Post-hoc radius scaling; not nominal interval coverage or an API policy
trametinib,elastic_net,0.0,87,375,0.232,Post-hoc radius scaling; not nominal interval coverage or an API policy
trametinib,elastic_net,0.05,64,375,0.17066666666666666,Post-hoc radius scaling; not nominal interval coverage or an API policy
trametinib,elastic_net,0.1,49,375,0.13066666666666665,Post-hoc radius scaling; not nominal interval coverage or an API policy
trametinib,elastic_net,0.15000000000000002,37,375,0.09866666666666667,Post-hoc radius scaling; not nominal interval coverage or an API policy
trametinib,elastic_net,0.2,30,375,0.08,Post-hoc radius scaling; not nominal interval coverage or an API policy
trametinib,elastic_net,0.25,14,375,0.037333333333333336,Post-hoc radius scaling; not nominal interval coverage or an API policy
trametinib,elastic_net,0.30000000000000004,9,375,0.024,Post-hoc radius scaling; not nominal interval coverage or an API policy
trametinib,elastic_net,0.35000000000000003,7,375,0.018666666666666668,Post-hoc radius scaling; not nominal interval coverage or an API policy
